"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02"
"Winston-Salem, NC",79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237.5,1297.5,1365,1350,1350,1250,1325,1400,1350,1200,1312.5,1262.5,1285,1250,1295,1250,1250,1225,1212.5,1225,1225,1200,1225,1295,1340,1340,1300,1312.5,1350,1350,1350,1350,1350,1337.5,1300,1325,1295,1337.5,1325,1300,1312.5,1295,1325,1350,1400,1340,1350,1300,1350,1395,1312.5,1350,1295,1422.5,1395,1400,1395,1445,1450,1425,1450,1450,1400,1450,1450,1395,1395,1445,1425,1472.5,1495,1450,1412.5,1400,1425,1445,1462.5,1395,1457.5,1550
"Wichita, KS",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,1195,1197.5,1197.5,1195,1262.5,1195,1162.5,1195,1200,1200,1212.5,1257.5,1250,1250,1295,1250,1200,1300,1200,1175,1190,1200,1175,1102.5,1145,1105,1195
"Springfield, MA",81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625,1500,1575,1799,1799.5,1995,1900,2125,1950,2025,2100,2000,1785,1995,2000
"Fort Myers, FL",82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,1900,2100,2000,2050,2000,2000,2050,2100,2200,2250,2200,2100,2000,2199,2199.5,2000,2067.5,2225,2200,2150,2150,2149,2300,2295
"Boise City, ID",83,,,,,,,,,,,,1095,1050,1095,1095,995,995,1050,1095,1095,1095,1095,1050,995,1012.5,1045,1050,1085,1125,1150,1150,1147.5,1195,1100,1150,1150,1095,1172.5,1212.5,1225,1195,1195,1195,1200,1200,1195,1195,1195,1195,1195,1200,1300,1300,1300,1295,1250,1275,1295,1250,1250,1295,1345,1399,1350,1350,1350,1350,1295,1295,1295,1295,1295,1350,1350,1400,1350,1395,1400,1410,1395,1450,1395,1300,1367.5,1405,1495,1495,1450,1495,1525,1472.5,1495,1495,1475,1497.5,1550,1550,1525,1575,1595,1695,1695,1650,1650,1550,1595,1595,1595,1595
"Toledo, OH",84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,760,750,762.5,780,875,830,777.5,850,800,800,750,750,780,750,837.5,897,900,875,900,975,870,900,895,897.5,850,825,872.5
"Lakeland, FL",85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1370,1390,1375,1385,1395,1395,1395,1420,1400,1495,1485,1395,1400,1395,1400,1450,1450,1450,1450,1450,1495,1500,1497.5,1497.5,1450,1450,1477.5,1499.5,1495,1500,1545,1600,1595,1595,1550,1575,1537.5,1525,1547,1500,1529.5,1522.5,1575
"Ogden, UT",86,,,,,,,,,,,,,,,,,,,1172.5,1100,1100,1100,1125,1100,1100,1100,1175,1150,1150,1150,1197,1137.5,1150,1100,1095,1085,1125,1197.5,1200,1200,1200,1250,1250,1250,1249,1200,1200,1197.5,1195,1195,1195,1200,1200,1200,1200,1200,1200,1212.5,1200,1225,1225,1295,1275,1280,1275,1250,1212.5,1250,1250,1250,1250,1215,1250,1300,1250,1272.5,1299.5,1295,1350,1272.5,1295,1250,1300,1295,1295,1297.5,1350,1400,1435,1482.5,1450,1425,1400,1425,1397.5,1399,1395,1495,1500,1500,1595,1500,1495,1550,1450,1495,1562.5,1550,1525
"Daytona Beach, FL",87,,,,,,,,,,,,,,,,,,,,,,,,,,1375,1150,1300,1345,1300,1300,1350,1395,1387.5,1300,1300,1300,1395,1400,1375,1375,1300,1295,1350,1375,1375,1337.5,1350,1300,1300,1300,1312.5,1300,1400,1375,1375,1350,1350,1400,1385,1425,1437.5,1450,1395,1475,1485,1495,1450,1437,1400,1400,1450,1450,1500,1500,1499.5,1400,1450,1520,1400,1400,1450,1472.5,1500,1600,1500,1550,1550,1597.5,1650,1600,1600,1600,1675,1600,1600,1720,1710,1601,1695,1700,1711,1690.5,1650,1598.5,1547.5,1650,1700,1700
"Des Moines, IA",88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522.5,1750,1695,1795,1895,1772.5,1800,1795,1795,1772.5,1897.5,1900,1750,1800,1812.5,1885,1797.5,1725,1750,1750,1697.5,1600,1460,1600,1677,1600
"Augusta, GA",89,,,,,,,,,,,,,,,,,,,,,,1300,1300,1350,1325,1325,1200,1200,1200,1195,1200,1200,1225,1250,1250,1250,1295,1300,1297.5,1297.5,1300,1295,1295,1300,1275,1250,1250,1275,1290,1250,1295,1300,1295,1300,1300,1300,1300,1295,1295,1350,1350,1350,1350,1295,1300,1350,1395,1350,1347.5,1300,1349.5,1300,1300,1350,1395,1400,1447.5,1375,1400,1395,1325,1300,1395,1375,1350,1400,1450,1450,1400,1400,1400,1450,1395,1395,1395,1350,1375,1350,1400,1437.5,1425,1450,1400,1400,1400,1400,1400,1400,1400
"Melbourne, FL",90,,,,,,1350,1350,1300,1362.5,1300,1350,1397.5,1400,1400,1500,1450,1500,1475,1425,1400,1450,1462.5,1495,1400,1500,1525,1500,1470,1500,1500,1500,1437.5,1500,1500,1500,1467.5,1500,1500,1500,1495,1450,1500,1470,1450,1495,1485,1500,1500,1495,1500,1500,1595,1600,1595,1600,1500,1600,1600,1650,1650,1700,1725,1695,1695,1650,1650,1700,1700,1700,1700,1650,1695,1697.5,1700,1600,1650,1700,1650,1700,1700,1600,1750,1650,1712.5,1722.5,1800,1900,1985,1825,1802.5,1850,1800,1800,1800,1877.5,1850,1800,1950,1950,1950,1972.5,2000,1900,1900,1800,1812.5,1825,1850,1850
"Spokane, WA",91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1525,1525,1525,1525,1595,1495,1450,1525,1422.5,1497.5,1495
"Lancaster, PA",92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,1095,1100,1195,995,1100,1125,1137.5,1200,1175,1175,1197.5,1100,1200,1100,1175,1100,1200,1200,1200,1200,1162.5,1195,1350,1320,1395
"Modesto, CA",93,,,,,,,,,,,,1325,1375,1350,1295,1295,1347.5,1325,1350,1350,1347.5,1350,1395,1297.5,1295,1335,1297.5,1295,1295,1367.5,1450,1312.5,1350,1395,1350,1345,1350,1345,1300,1300,1300,1300,1350,1395,1395,1395,1450,1397.5,1395,1395,1395,1400,1399,1400,1420,1425,1397.5,1395,1472.5,1450,1495,1425,1450,1450,1562.5,1495,1495,1500,1512.5,1585,1595,1645,1510,1650,1572.5,1650,1472.5,1600,1650,1650,1550,1695,1595,1650,1695,1725,1697,1725,1775,1772.5,1797.5,1695,1795,1725,1737.5,1795,1785,1800,1850,1850,1900,1897.5,1937.5,1925,1900,1900,1900,1895,1895
"Portland, ME",94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,2000,2000,1975,2195,2047.5,2100,2200,2150,2000,1800,2000,2000,2000,2350,2500,2500,2595,2425,2200,2100,2000,2000,2000,2275,2350
"Durham, NC",95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2195,1825,1800,1750,1800,1850,1900,1795,1775,1700,1727.5,1900,1895,1900,1995,2080
"Santa Rosa, CA",96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2950,2750,2950,2850,2925,2900,2950,3000,3200,3200,3100,3100,3000,3000,3450,3500,3600,3500,3500,3500,3500,3500,3500,3490,3300,3350,3200,3300,3300,3200
"Lexington, KY",97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595,1500,1575,1650,1600,1550,1572.5,1575,1550,1300,1495,1575,1570,1525,1500,1595,1600,1672.5,1595,1550,1550,1575,1750,1650,1650,1750,1760,1650,1700,1600,1625,1595,1597.5,1596,1699,1697.5,1600,1626.5,1650
"Pensacola, FL",98,,,,,,,,,,,,,1200,1212.5,1295,1300,1300,1300,1300,1300,1297.5,1250,1250,1262.5,1250,1285,1295,1300,1400,1400,1350,1300,1350,1350,1395,1350,1300,1350,1350,1437.5,1450,1400,1400,1400,1400,1397.5,1350,1400,1400,1400,1450,1450,1450,1450,1450,1450,1450,1450,1450,1400,1450,1450,1449.5,1475,1500,1475,1500,1500,1462.5,1485,1450,1450,1450,1500,1450,1500,1500,1495,1450,1475,1437.5,1450,1450,1500,1462.5,1450,1500,1595,1600,1550,1550,1597.5,1500,1500,1500,1550,1500,1500,1650,1650,1675,1675,1600,1600,1550,1600,1625,1650,1800
"Visalia, CA",99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1525,1595,1550,1450,1495,1500,1525,1595,1550,1572.5,1500,1495,1395,1495,1495,1650,1595,1595,1595,1500
"Reno, NV",100,,,,,,,,,,,,,1450,1450,1495,1400,1450,1495,1450,1475,1462.5,1500,1437.5,1400,1400,1450,1572.5,1500,1500,1525,1500,1495,1475,1495,1450,1495,1425,1450,1437.5,1550,1590,1550,1550,1550,1550,1595,1575,1500,1500,1500,1500,1500,1550,1650,1600,1575,1600,1600,1600,1685,1650,1695,1725,1650,1637.5,1625,1695,1695,1650,1695,1700,1750,1800,1800,1800,1895,1800,1795,1795,1750,1850,1800,1800,1850,1937,1897.5,1995,2062.5,1995,1950,1995,1990,1995,1995,2000,1995,2025,2095,2097.5,2175,2200,2172.5,2150,2100,2100,2135,2035,2000,2100
"Asheville, NC",101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,1950,2000,1950,1962.5,1897.5,1925,1895,1950,1800,1972.5,2100,2000,1950,1995,2000,2150,2000,1795,1995,1900,1972.5,1900,1900
"Port St. Lucie, FL",102,,,,,,,,,,,,,,,,,,1547.5,1637.5,1400,1400,1400,1362.5,1400,1450,1500,1400,1450,1450,1400,1350,1400,1400,1400,1400,1400,1400,1400,1400,1470,1550,1595,1595,1500,1500,1450,1500,1600,1600,1597.5,1600,1625,1600,1600,1600,1572.5,1600,1550,1525,1572.5,1512.5,1600,1597.5,1550,1597.5,1625,1595,1600,1600,1650,1650,1649,1772.5,1795,1900,1700,1750,1800,1725,1800,1600,1672.5,1700,1750,1825,2000,1900,1850,1800,1800,1800,1750,1800,1800,1775,1750,1800,1950,1900,1850,1950,1900,1850,1800,1887,2000,2000,1900,1900
"Salinas, CA",103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,2991,3425,3600,3500,3200,3200,3300,3300,2995,2982,2978.5,3000,3100,3347.5
"Vallejo, CA",104,,,,,,,,,,,,,,1825,1825,1800,1797.5,1825,1800,1872.5,1847.5,1822.5,1800,1895,1800,1900,1800,1859,1850,1849.5,1875,1875,1811,1799.5,1800,1799.5,1795,1800,1800,1795,1800,1850,1800,1895,1849,1849,1850,1850,1877.5,1875,1875,1900,1922,1950,1939,1950,1945,2050,2087,2050,1962.5,1999,2050,1997.5,2029,2150,2100,2100,2099,2185,2075,2100,2175,2162.5,2100,2115,2150,2195,2195,2200,2100,2138,2102,2202,2200,2250,2275,2295,2350,2400,2300,2300,2300,2300,2300,2350,2450,2450,2400,2400,2450,2500,2480,2385,2395,2450,2462.5,2400,2500
"Killeen, TX",105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,1100,1275,1275,1250,1262.5,1262.5,1200,1150,1150,1128,1150,1195,1300,1300,1295,1295,1295,1320,1300,1280,1225,1297.5,1275,1300
"Anchorage, AK",106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2325,2200,2300,2200,2200,2145,2245,2300,2100,2190,2100,2347.5,2325,2400,2350,2200,2300,2295,2200,2297.5,2200,2250,2295,2200,2100,2300,2275,2300,1995,1950,2050,1950,1900,1950,2012.5,2095,2172.5,2195,2100,2150,2000,2000,2100,2100,2075,2100,2100,2100,2200,2200,2200,2150,2000,2000,2000,2000,1999
