metro_id,property_type,time_stamp,num_sales
753899,allhomes,2008-09,7850.0
753899,allhomes,2008-10,8194.0
753899,allhomes,2008-11,8156.0
753899,allhomes,2008-12,8221.0
753899,allhomes,2009-01,8158.0
753899,allhomes,2009-02,8741.0
753899,allhomes,2009-03,8697.0
753899,allhomes,2009-04,8480.0
753899,allhomes,2009-05,8070.0
753899,allhomes,2009-06,8282.0
753899,allhomes,2009-07,8719.0
753899,allhomes,2009-08,8809.0
753899,allhomes,2009-09,8928.0
753899,allhomes,2009-10,9009.0
753899,allhomes,2009-11,9319.0
753899,allhomes,2009-12,9586.0
753899,allhomes,2010-01,9364.0
753899,allhomes,2010-02,9571.0
753899,allhomes,2010-03,9372.0
753899,allhomes,2010-04,9315.0
753899,allhomes,2010-05,9092.0
753899,allhomes,2010-06,8967.0
753899,allhomes,2010-07,8634.0
753899,allhomes,2010-08,8120.0
753899,allhomes,2010-09,7824.0
753899,allhomes,2010-10,7715.0
753899,allhomes,2010-11,7873.0
753899,allhomes,2010-12,8069.0
753899,allhomes,2011-01,8651.0
753899,allhomes,2011-02,9004.0
753899,allhomes,2011-03,9112.0
753899,allhomes,2011-04,8759.0
753899,allhomes,2011-05,8273.0
753899,allhomes,2011-06,7960.0
753899,allhomes,2011-07,7745.0
753899,allhomes,2011-08,7984.0
753899,allhomes,2011-09,8027.0
753899,allhomes,2011-10,8071.0
753899,allhomes,2011-11,8124.0
753899,allhomes,2011-12,8236.0
753899,allhomes,2012-01,8756.0
753899,allhomes,2012-02,9277.0
753899,allhomes,2012-03,9520.0
753899,allhomes,2012-04,9365.0
753899,allhomes,2012-05,9111.0
753899,allhomes,2012-06,9010.0
753899,allhomes,2012-07,9082.0
753899,allhomes,2012-08,9276.0
753899,allhomes,2012-09,9036.0
753899,allhomes,2012-10,9353.0
753899,allhomes,2012-11,9449.0
753899,allhomes,2012-12,10204.0
753899,allhomes,2013-01,10409.0
753899,allhomes,2013-02,10654.0
753899,allhomes,2013-03,10471.0
