id,time_stamp,income
394514,1985-09,29357
394514,1985-12,29657
394514,1986-03,29916
394514,1986-06,29995
394514,1986-09,29995
394514,1986-12,29936
394514,1987-03,30134
394514,1987-06,30383
394514,1987-09,30658
394514,1987-12,30729
394514,1988-03,30880
394514,1988-06,31094
394514,1988-09,31459
394514,1988-12,32024
394514,1989-03,32573
394514,1989-06,32954
394514,1989-09,33023
394514,1989-12,32880
394514,1990-03,33010
394514,1990-06,33201
394514,1990-09,33636
394514,1990-12,34015
394514,1991-03,34194
394514,1991-06,34277
394514,1991-09,34297
394514,1991-12,34312
394514,1992-03,34527
394514,1992-06,34772
394514,1992-09,35048
394514,1992-12,35274
394514,1993-03,35540
394514,1993-06,35718
394514,1993-09,35864
394514,1993-12,36077
394514,1994-03,36347
394514,1994-06,36723
394514,1994-09,37020
394514,1994-12,37438
394514,1995-03,37846
394514,1995-06,38165
394514,1995-09,38432
394514,1995-12,38855
394514,1996-03,39480
394514,1996-06,40095
394514,1996-09,40694
394514,1996-12,41212
394514,1997-03,41968
394514,1997-06,42649
394514,1997-09,43296
394514,1997-12,43692
394514,1998-03,44402
394514,1998-06,44905
394514,1998-09,45733
394514,1998-12,46613
394514,1999-03,47554
394514,1999-06,48223
394514,1999-09,48451
394514,1999-12,48468
394514,2000-03,49044
394514,2000-06,49606
394514,2000-09,49965
394514,2000-12,49851
394514,2001-03,50223
394514,2001-06,50086
394514,2001-09,50079
394514,2001-12,49852
394514,2002-03,49790
394514,2002-06,49705
394514,2002-09,49541
394514,2002-12,49440
394514,2003-03,49561
394514,2003-06,49690
394514,2003-09,49824
394514,2003-12,49874
394514,2004-03,50012
394514,2004-06,49992
394514,2004-09,50075
394514,2004-12,50340
394514,2005-03,50957
394514,2005-06,51458
394514,2005-09,51569
394514,2005-12,51653
394514,2006-03,52285
394514,2006-06,52863
394514,2006-09,53485
394514,2006-12,54193
394514,2007-03,54974
394514,2007-06,55866
394514,2007-09,55982
394514,2007-12,55389
394514,2008-03,55246
394514,2008-06,55661
394514,2008-09,56511
394514,2008-12,57717
394514,2009-03,57271
394514,2009-06,56656
394514,2009-09,55368
394514,2009-12,54614
394514,2010-03,54803
394514,2010-06,55521
394514,2010-09,56035
394514,2010-12,55785
394514,2011-03,55964
394514,2011-06,55973
394514,2011-09,56200
394514,2011-12,56073
394514,2012-03,56431
394514,2012-06,56692
394514,2012-09,57085
394514,2012-12,57830
394514,2013-03,57936
394514,2013-06,58359
394514,2013-09,58009
394514,2013-12,58014
394514,2014-03,58492
394514,2014-06,59049
394514,2014-09,59935
394514,2014-12,60618
394514,2015-03,61137
394514,2015-06,61248
394514,2015-09,61751
394514,2015-12,62510
394514,2016-03,63343
394514,2016-06,63987
394514,2016-09,64606
394514,2016-12,65180
394514,2017-03,66119
394514,2017-06,66969
394514,2017-09,67831
394514,2017-12,68607
394514,2018-03,69045
394514,2018-06,69483
394514,2018-09,69921
394514,2018-12,70359
394974,1979-03,17530
394974,1979-06,17869
394974,1979-09,18248
394974,1979-12,18589
394974,1980-03,19067
394974,1980-06,19428
394974,1980-09,19742
394974,1980-12,20054
394974,1981-03,20449
394974,1981-06,20759
394974,1981-09,21121
394974,1981-12,21468
394974,1982-03,21832
394974,1982-06,22045
394974,1982-09,22420
394974,1982-12,22866
394974,1983-03,23316
394974,1983-06,23618
394974,1983-09,23910
394974,1983-12,24243
394974,1984-03,24857
394974,1984-06,25408
394974,1984-09,25793
394974,1984-12,25994
394974,1985-03,26437
394974,1985-06,26997
394974,1985-09,27677
394974,1985-12,28030
394974,1986-03,28678
394974,1986-06,29051
394974,1986-09,29457
394974,1986-12,29714
394974,1987-03,30256
394974,1987-06,31014
394974,1987-09,31767
394974,1987-12,32440
394974,1988-03,33083
394974,1988-06,33478
394974,1988-09,33843
394974,1988-12,34164
394974,1989-03,34957
394974,1989-06,35620
394974,1989-09,36154
394974,1989-12,36097
394974,1990-03,36228
394974,1990-06,36342
394974,1990-09,36619
394974,1990-12,36915
394974,1991-03,37096
394974,1991-06,37220
394974,1991-09,37240
394974,1991-12,37188
394974,1992-03,37304
394974,1992-06,37416
394974,1992-09,37608
394974,1992-12,37837
394974,1993-03,37989
394974,1993-06,38181
394974,1993-09,38331
394974,1993-12,38559
394974,1994-03,38664
394974,1994-06,38856
394974,1994-09,39060
394974,1994-12,39426
394974,1995-03,39798
394974,1995-06,40074
394974,1995-09,40325
394974,1995-12,40639
394974,1996-03,41095
394974,1996-06,41621
394974,1996-09,42209
394974,1996-12,42845
394974,1997-03,43451
394974,1997-06,43995
394974,1997-09,44468
394974,1997-12,44952
394974,1998-03,45591
394974,1998-06,46211
394974,1998-09,46849
394974,1998-12,47593
394974,1999-03,48363
394974,1999-06,49037
394974,1999-09,49335
394974,1999-12,49335
394974,2000-03,49856
394974,2000-06,50446
394974,2000-09,50970
394974,2000-12,51126
394974,2001-03,51316
394974,2001-06,51271
394974,2001-09,51159
394974,2001-12,51047
394974,2002-03,50995
394974,2002-06,50962
394974,2002-09,50890
394974,2002-12,50855
394974,2003-03,50963
394974,2003-06,51156
394974,2003-09,51367
394974,2003-12,51532
394974,2004-03,51778
394974,2004-06,52052
394974,2004-09,52491
394974,2004-12,53175
394974,2005-03,53484
394974,2005-06,53729
394974,2005-09,53822
394974,2005-12,54367
394974,2006-03,54998
394974,2006-06,55601
394974,2006-09,56078
394974,2006-12,56596
394974,2007-03,57334
394974,2007-06,58109
394974,2007-09,58703
